Skola_antag,Kommun,Skola_avgang,Average GBP,Average Elever per Teacher
Danderyds gymnasium,Danderyd,Danderyds Gymnasium,15.98,15.88
"Viktor Rydberg Gymnasium, Djursholm",Danderyd,Viktor Rydberg gy. Djursholm,17.46,17.84
Tullinge Gymnasium,Botkyrka,Tullinge gymnasium,15.74,16.000000000000004
Tullinge Gymnasium,Botkyrka,Tullinge gymnasium,15.74,16.000000000000004
"Viktor Rydberg Gymnasium, Djursholm",Danderyd,Viktor Rydberg gy. Djursholm,17.46,17.84
Amerikanska Gymnasiet Stockholm,Stockholm,Amerikanska Gymnasiet Stockholm,15.9,22.0
Rudbeck,Sollentuna,Rudbeck Naturvetenskapsprogrammet,16.9,14.98
"Viktor Rydberg Gymnasium, Sundbyberg",Sundbyberg,Viktor Rydberg gy. Sundbyberg,16.166666666666668,18.575000000000003
Stockholms Idrottsgymnasium,Stockholm,Stockholms Idrottsgymnasium,17.740000000000002,18.52
Solna Gymnasium,Solna,Solna Gymnasium,16.32,15.559999999999999
Nacka gymnasium,Nacka,Nacka Gymnasium,16.6,18.0
Tibble gymnasium campus Täby,Täby,Tibble Gymnasium Campus Täby,17.44,22.74
Åva gymnasium,Täby,Åva gymnasium,16.840000000000003,15.8
Tumba Gymnasium,Botkyrka,Tumba gymnasium,16.34,12.52
Blackebergs gymnasium,Stockholm,Blackebergs gymnasium 85152591,17.025,18.4
Enskilda Gymnasiet,Stockholm,"Enskilda gymnasiet, gy",17.96,13.900000000000002
Sjölins Gymnasium Nacka,Nacka,Sjölins Gymnasium Nacka,16.55,20.2
Campus Manilla Gymnasium,Stockholm,Campus Manilla Gymnasium,18.4,15.459999999999999
JENSEN gymnasium Gamla stan (fd Södra),Stockholm,JENSEN Gymnasium Gamla stan,17.35,19.2
Värmdö gymnasium,Värmdö,Värmdö gymnasium,16.98,16.580000000000002
KLARA Teoretiska Gymnasium Stockholm Norra,Stockholm,KLARA Teoretiska Gymnasium Stockholm Norra,14.979999999999999,17.7
International IT College of Sweden,Stockholm,nan,,
Nacka gymnasium,Nacka,Nacka Gymnasium,16.6,18.0
Anna Whitlocks gymnasium,Stockholm,Anna Whitlocks gymnasium 54040574,16.975,19.160000000000004
JENSEN Gymnasium Södra,Stockholm,JENSEN Gymnasium Gamla stan,17.35,19.2
Sjölins Gymnasium Södermalm,Stockholm,Sjölins Gymnasium Södermalm,17.450000000000003,19.0
ProCivitas Privata Gymnasium Stockholm,Stockholm,nan,,
Nacka gymnasium,Nacka,Nacka Gymnasium,16.6,18.0
Kungsholmens gymnasium/Stockholms musikgymnasium,Stockholm,Kungsh gy/Sthlms Musikgy 74812809,18.02,17.599999999999998
Östra gymnasiet,Huddinge,Östra gymnasiet,17.36,14.66
Kungsholmens gymnasium/Stockholms musikgymnasium,Stockholm,Kungsh gy/Sthlms Musikgy 74812809,18.02,17.599999999999998
Anna Whitlocks gymnasium,Stockholm,Anna Whitlocks gymnasium 54040574,16.975,19.160000000000004
P A Fogelströms gymnasium,Stockholm,P A Fogelströms gymnasium 24650116,16.8,21.1
Viktor Rydberg Gymnasium Odenplan,Stockholm,Viktor Rydberg gy. Odenplan,18.0,18.82
Sjölins Gymnasium Vasastan (fd. Kungsholmen),Stockholm,Sjölins Gymnasium Vasastan,15.4,19.68
Östra Reals gymnasium,Stockholm,Östra Reals gymnasium 99755443,17.549999999999997,17.860000000000003
Södra Latins gymnasium,Stockholm,Södra Latins gymnasium 89370947,17.775,13.219999999999999
JENSEN gymnasium Södra,Stockholm,JENSEN Gymnasium Gamla stan,17.35,19.2
Norra Reals gymnasium,Stockholm,Norra Real 82964090,17.880000000000003,19.660000000000004
Täby Enskilda Gymnasium,Täby,Täby Enskilda gymnasium,18.580000000000002,16.04
Norra Reals gymnasium,Stockholm,Norra Real 82964090,17.880000000000003,19.660000000000004
Viktor Rydberg Gy Campus(fd Jarlaplan/Odenplan),Stockholm,Viktor Rydberg gy. Odenplan,18.0,18.82
Kungsholmens gymnasium/Stockholms musikgymnasium,Stockholm,Kungsh gy/Sthlms Musikgy 74812809,18.02,17.599999999999998
Norra Reals gymnasium,Stockholm,Norra Real 82964090,17.880000000000003,19.660000000000004
